EmployeeCode;Name;Department;Location;DateOfJoining
19990419-0981;Reanna Mcevoy;Customer Service;Stockholms län;2003-12-12
19470621-7058;Johana Lakes;Customer Relations;Stockholms län;2018-04-10
19130421-0576;Mariano Kong;Payroll;Västra Götalands län;2008-09-19
19801029-6245;Hector Nee;Advertising;E;2000-05-04
19290714-2489;Florencia Grosso;Customer Service;O;2001-05-04
19440213-7824;Shanika Hausman;Asset Management;F;2001-07-19
19080408-2170;Melia Wolbert;Quality Assurance;Stockholms län;2004-05-17
19450414-0114;Karol Bucy;Customer Relations;Jönköpings län;2004-07-18
19790318-5419;Norris Renner;Quality Assurance;Västra Götalands län;2014-07-12
19671009-7004;Maricruz Tallman;Sales and Marketing;E;2003-10-19
19990110-1023;Shay Grace;Customer Service;E;2008-02-15
19650922-7747;Julissa Bopp;Asset Management;Gävleborgs län;2009-11-02
19480515-1133;Leticia Senegal;Asset Management;Dalarnas län;2017-07-27
19520626-8483;Missy Quillen;Research and Development;E;2019-01-05
19560124-0038;Bonita Graf;Customer Service;E;2003-09-06
19521014-9703;Leandro Ballinger;Tech Support;Dalarnas län;2009-07-17
19331203-9401;Venetta Holden;Customer Service;W;2019-07-02
19090702-8989;Bernardine Vancamp;Quality Assurance;AB;2002-10-30
19971225-4458;Annabel Madrigal;Payroll;Östergötlands län;2011-04-07
19831107-9035;Gayle Benny;Accounting;AB;2010-09-10
19210726-3861;Jerrie Echavarria;Customer Service;Västra Götalands län;2019-01-31
19970420-9627;Esteban Sciacca;Quality Assurance;Stockholms län;2002-08-08
19570911-1985;Alisa Cullum;Tech Support;Västra Götalands län;2011-08-22
19070808-0403;Cornell Wootton;Finances;Dalarnas län;2012-04-04
19170519-3218;Alva Griffieth;Asset Management;Östergötlands län;2005-04-17
19010819-2329;Karyl Redmon;Finances;Jönköpings län;2008-01-18
19590129-6573;Dian Kash;Research and Development;Västra Götalands län;2013-03-28
19590301-2986;Brady Connery;Customer Relations;AB;2011-07-07
19120609-9770;Wava Aleman;Payroll;Västra Götalands län;2015-12-02
19861128-5319;Dia Braziel;Public Relations;AB;2015-12-30
19910603-3898;Tish Polzin;Finances;Jönköpings län;2014-03-26
19430421-7062;Elijah Kamrowski;Research and Development;W;2014-03-06
19581208-8580;Laurine Carrozza;Advertising;AB;2015-04-22
19260513-6767;Homer Lambdin;Quality Assurance;Stockholms län;2008-03-02
19631211-5626;Casimira Aleshire;Finances;F;2009-04-13
19150611-0228;Latosha Mccullers;Research and Development;AB;2020-06-02
19220713-2859;Jama Naval;Payroll;Stockholms län;2009-09-15
19440317-3653;Trey Gajewski;Public Relations;AB;2006-09-10
19720101-6040;Tatiana Grado;Asset Management;Stockholms län;2007-06-02
19211112-1832;Claud Lambros;Asset Management;Västra Götalands län;2019-04-14
19290222-0009;Luella Avey;Payroll;Stockholms län;2001-04-28
19860229-0283;Ada Pothier;Quality Assurance;X;2004-08-18
19280423-2912;Gabrielle Dycus;Accounting;AB;2019-07-18
19740121-9956;Alberto Meneses;Public Relations;Västra Götalands län;2012-01-29
19920124-7088;Josphine Barberio;Public Relations;Västra Götalands län;2017-07-02
19351010-4809;Jeanene Bowers;Quality Assurance;Östergötlands län;2003-12-15
19020802-9777;Jeremy Segawa;Public Relations;Östergötlands län;2001-08-13
19870108-6665;Catherina Spradley;Payroll;AB;2005-03-08
19371217-0863;Cyndy Shaughnessy;Research and Development;Stockholms län;2010-07-15
19411205-6389;Elly Beliveau;Legal Department;O;2002-11-07
19070830-6105;Mary Danforth;Advertising;AB;2020-07-11
19820925-9665;Myrna Mcfaul;Media Relations;O;2017-09-07
